Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599764.71337,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.715248,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.716893,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.719175,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.720614,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.722477,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.724948,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.726578,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.729041,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.730682,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.731709,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.733365,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.734769,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.736396,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.737254,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.738791,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.73984,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.741478,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.74239,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.744069,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.74482,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.746406,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.749398,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.753906,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.756514,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.756865,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.757576,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.758339,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.75922,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.760882,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.761671,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.763425,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.763976,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.766062,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.768227,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.770071,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.772227,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.773831,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.775332,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.777017,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.7793,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.780917,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.782607,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.78445,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.786625,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.788365,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.790488,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.792173,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.79443,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.796047,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.798179,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.802303,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.802557,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.804434,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.806446,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.808299,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.809832,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.811482,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.813246,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.814966,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.816683,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.818885,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.81936,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.82107,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.823315,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.825037,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.827085,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.828646,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.831253,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.833669,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.836404,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.836404,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.836557,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.838627,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.838649,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.840138,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.841259,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.842743,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.845193,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.847432,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.84992,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.853141,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.853689,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.856149,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.857143,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.8587,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.859745,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.861816,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.862025,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.863643,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.864461,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.865929,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.866356,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.868615,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.870206,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.871938,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.873642,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.875714,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.87655,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.878325,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.878661,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.880293,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.881127,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.883146,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.883298,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.885181,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.885633,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.887418,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.887517,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.889296,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.889362,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.891122,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.893136,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.893511,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
